provider	case	record_id	record_class	source_locator	canonical_parent_id	canonical_conversation_id	disposition	reason
Author interview	cross-case	approved-testimony-2026-08-16	retrospective-testimony	brief:task-1-author-testimony	not-applicable	not-applicable	included-source	approved retrospective testimony set
Claude Code	ARC-AGI-3	017a2ecb-2209-4788-a780-69916c06968a	tool-result-derivative	claude:ARC-AGI-3/017a2ecb-2209-4788-a780-69916c06968a.jsonl	not-recorded	not-counted	trace-only	SDK-created record; excluded from human conversation counts
Claude Code	ARC-AGI-3	028d4051-2534-49b3-9fb2-cf4038274307	tool-result-derivative	claude:ARC-AGI-3/028d4051-2534-49b3-9fb2-cf4038274307.jsonl	not-recorded	not-counted	trace-only	SDK-created record; excluded from human conversation counts
Claude Code	ARC-AGI-3	033522d6-29ca-4965-9c84-21f7d0904f54	tool-result-derivative	claude:ARC-AGI-3/033522d6-29ca-4965-9c84-21f7d0904f54.jsonl	not-recorded	not-counted	trace-only	SDK-created record; excluded from human conversation counts
Claude Code	ARC-AGI-3	03a01aba-8fe8-4b46-adfe-d5679bd525a8	tool-result-derivative	claude:ARC-AGI-3/03a01aba-8fe8-4b46-adfe-d5679bd525a8.jsonl	not-recorded	not-counted	trace-only	SDK-created record; excluded from human conversation counts
Claude Code	ARC-AGI-3	066c8134-787a-41a1-8dcb-dd4815d4a1d1	primary-session	claude:ARC-AGI-3/066c8134-787a-41a1-8dcb-dd4815d4a1d1.jsonl	626c7722-330b-4125-b1de-439d21bef0a0	626c7722-330b-4125-b1de-439d21bef0a0	excluded-continuation	linked by legacy session or bridge identifier
Claude Code	ARC-AGI-3	066c8134-787a-41a1-8dcb-dd4815d4a1d1:066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a022f7ce94b1d6cb2	subagent	claude:ARC-AGI-3/066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a022f7ce94b1d6cb2.jsonl	066c8134-787a-41a1-8dcb-dd4815d4a1d1	626c7722-330b-4125-b1de-439d21bef0a0	trace-only	child record linked to top-level Claude record
Claude Code	ARC-AGI-3	066c8134-787a-41a1-8dcb-dd4815d4a1d1:066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a03bf56ab2575bd30	subagent	claude:ARC-AGI-3/066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a03bf56ab2575bd30.jsonl	066c8134-787a-41a1-8dcb-dd4815d4a1d1	626c7722-330b-4125-b1de-439d21bef0a0	trace-only	child record linked to top-level Claude record
Claude Code	ARC-AGI-3	066c8134-787a-41a1-8dcb-dd4815d4a1d1:066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a052a7b2c5ad343c3	subagent	claude:ARC-AGI-3/066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a052a7b2c5ad343c3.jsonl	066c8134-787a-41a1-8dcb-dd4815d4a1d1	626c7722-330b-4125-b1de-439d21bef0a0	trace-only	child record linked to top-level Claude record
Claude Code	ARC-AGI-3	066c8134-787a-41a1-8dcb-dd4815d4a1d1:066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a0956d735615334c7	subagent	claude:ARC-AGI-3/066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a0956d735615334c7.jsonl	066c8134-787a-41a1-8dcb-dd4815d4a1d1	626c7722-330b-4125-b1de-439d21bef0a0	trace-only	child record linked to top-level Claude record
Claude Code	ARC-AGI-3	066c8134-787a-41a1-8dcb-dd4815d4a1d1:066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a0a1a05d6d5711977	subagent	claude:ARC-AGI-3/066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a0a1a05d6d5711977.jsonl	066c8134-787a-41a1-8dcb-dd4815d4a1d1	626c7722-330b-4125-b1de-439d21bef0a0	trace-only	child record linked to top-level Claude record
Claude Code	ARC-AGI-3	066c8134-787a-41a1-8dcb-dd4815d4a1d1:066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a0f028843a3833fc3	subagent	claude:ARC-AGI-3/066c8134-787a-41a1-8dcb-dd4815d4a1d1/subagents/agent-a0f028843a3833fc3.jsonl	066c8134-787a-41a1-8dcb-dd4815d4a1d1	626c7722-330b-4125-b1de-439d21bef0a0	trace-only	child record linked to top-level Claude record
